Month,Comunidad Autónoma,Total Paro Registrado,Hombre edad < 25,Hombre edad 25-45,Hombre edad >=45,Mujer edad < 25,Mujer edad 25-45,Mujer edad >= 45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,Poblation,% Total Paro Registrado,% Hombre edad < 25,% Hombre edad 25-45,% Hombre edad >=45,% Mujer edad < 25,% Mujer edad 25-45,% Mujer edad >= 45,% Paro Agricultura,% Paro Industria,% Paro Construcción,% Paro Servicios,% Paro Sin empleo Anterior
Aug,La Rioja,18696,714,2930,3988,668,4625,5771,1924,3394,1012,11220,1146,319914,0.0584407059397213,0.00223184980963634,0.009158711403689741,0.01246585019724051,0.00208806116643848,0.01445701032152391,0.01803922304119232,0.006014116293753946,0.010609101195946411,0.0031633501503529073,0.03507192557999962,0.003582212719668411
Jan,Andalucía,806090,32828,135150,162179,33554,215866,226513,60782,48008,73479,543960,79861,8464411,0.09523285199643543,0.003878356095893737,0.01596685227123305,0.01916010458376844,0.003964126978238652,0.025502778633977014,0.02676063343332454,0.0071808894913066015,0.005671747272196494,0.008680934798652853,0.06426436523462767,0.009434915199651813
Jan,Aragón,67635,3265,10407,13685,3108,16935,20235,3754,7742,4389,46335,5415,1329391,0.05087667962247375,0.0024560118129278745,0.007828396611681589,0.010294187338412851,0.0023379126231484943,0.012738915789259894,0.015221255447043044,0.002823849416763014,0.005823719281987015,0.0033015117448515897,0.034854305467691596,0.004073293711180533
Jan,Principado de Asturias,72967,2561,12601,16794,2232,17426,21353,1456,6218,5984,52751,6558,1018784,0.07162165876181802,0.002513781135157207,0.012368666959826616,0.01648435782265917,0.0021908471275559884,0.017104705217200113,0.020959300499418916,0.0014291547570436914,0.00610335458742972,0.005873669001476269,0.05177839463517291,0.0064370857806954175
Jan,Islas Baleares,60855,4194,12086,10871,3810,16181,13713,694,2407,5249,49927,2578,1171543,0.05194431617106671,0.003579894207895058,0.01031630934587975,0.009279215530287835,0.003252121347658601,0.013811699613245097,0.011705076126100365,0.0005923811588648475,0.0020545554025759192,0.00448041599838845,0.04261644685683752,0.0022005167543999666
Jan,Canarias,211164,7304,34693,51626,6431,47332,63778,4716,8370,21405,160452,16221,2175952,0.09704442009750215,0.003356691691728494,0.015943825966749266,0.02372570718471731,0.002955487988705633,0.021752318065839688,0.02931038919976176,0.0021673272204533922,0.0038465922042397994,0.00983707361191791,0.07373875894321198,0.007454668117679066
Jan,Cantabria,38850,1481,6989,8706,1318,9582,10774,723,3073,2841,29446,2767,582905,0.06664893936404731,0.0025407227592832453,0.011989946903869413,0.014935538381039792,0.002261088856674758,0.01643835616438356,0.018483286298796545,0.0012403393348830428,0.005271871059606625,0.004873864523378595,0.05051595028349388,0.004746914162685171
Jan,Castilla-La Mancha,177587,7972,24348,32800,7873,47082,57512,14536,17084,13096,119723,13148,2045221,0.08683022519326762,0.003897867272045417,0.011904825933236555,0.016037386668726755,0.003849461745209931,0.023020495095640033,0.028120188478408935,0.007107300384652807,0.00835313151977219,0.0064032199943184626,0.05853792817499918,0.00642864511952498
Jan,Castilla y León,143905,6238,22472,32959,5499,32393,44344,8322,13287,10619,99085,12592,2394918,0.06008765227034913,0.002604682080973127,0.009383202264127623,0.013762057824109218,0.0022961120171964135,0.013525724054017715,0.018515874029925033,0.0034748580118400714,0.005547997885522594,0.004433972269614241,0.04137302404508213,0.005257800058290096
Jan,Cataluña,393682,15257,66149,90772,13024,88138,120342,8392,44019,30140,287226,23905,7780479,0.0505986842198276,0.001960933253595312,0.008501918712202681,0.011666633892334907,0.0016739329288081107,0.011328094324269752,0.015467171108616834,0.0010785968318917127,0.005657620822574034,0.0038737974872755264,0.036916236134047785,0.0030724329440385352
