Month,Comunidad Autónoma,Total Paro Registrado,Hombre edad < 25,Hombre edad 25-45,Hombre edad >=45,Mujer edad < 25,Mujer edad 25-45,Mujer edad >= 45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior
Oct,País Vasco,138471,7062,25806,29830,5993,33128,36652,2977,16178,9112,92465,17739
Oct,La Rioja,18381,712,2833,3994,712,4317,5813,2138,3264,952,10866,1161
Sep,Andalucía,955901,45965,169182,182337,46609,259079,252729,81822,53372,83707,631786,105214
Sep,Aragón,76710,4594,12246,15083,4242,19153,21392,4457,8575,4715,51698,7265
Sep,Principado de Asturias,78006,3224,13934,17673,2613,18220,22342,1491,6443,6235,55846,7991
Sep,Islas Baleares,77112,5733,15680,14406,5230,19799,16264,1000,3116,9249,59090,4657
Sep,Canarias,254280,10079,45139,59323,9202,58844,71693,5499,9460,23786,195655,19880
Sep,Cantabria,39444,1659,6919,8881,1405,9563,11017,658,3097,2915,29468,3306
Sep,Castilla-La Mancha,178088,7885,24369,31990,8427,47219,58198,12249,16657,12796,120840,15546
Sep,Castilla y León,153384,7215,24011,32534,7068,36088,46468,7712,13533,9986,106081,16072
Sep,Cataluña,478201,21059,86167,105292,18049,112679,134955,10011,49428,36458,351205,31099
Sep,Ceuta,12887,709,2252,2164,841,3908,3013,86,448,494,9652,2207
Sep,Comunidad Valenciana,437364,23029,69125,90432,19934,104643,130201,15459,54706,33697,298370,35132
Sep,Extremadura,106049,5420,15508,19988,5565,27728,31840,11939,5958,8238,72169,7745
Sep,Galicia,176574,4567,29040,40750,4741,43895,53581,6271,18893,13341,122191,15878
Sep,Comunidad de Madrid,424411,18597,72415,87673,17769,105677,122280,3054,24122,30957,337332,28946
Sep,Melilla,9561,613,1380,1653,710,2876,2329,74,154,600,6835,1898
Sep,Región de Murcia,118338,6413,19637,22380,6363,31190,32355,9847,11685,9252,76234,11320
Sep,Navarra,38145,2271,6504,7149,2104,10000,10117,2065,4940,1740,25479,3921
Sep,País Vasco,144758,7947,27453,30331,6694,35156,37177,2644,17195,9448,96727,18744
Sep,La Rioja,17272,614,2449,3649,666,4246,5648,1501,3139,928,10576,1128
